supplier_id,name,category,description,price,valid_from,valid_to
5,酥炸花枝排飯,海鮮,花枝排配塔塔醬,137,2026-04-01,2026-06-30
6,照燒雞腿飯,肉類,日式照燒雞腿經典款,123,2026-04-01,2026-06-30
6,鹹酥雞丁飯,肉類,台式鹹酥雞丁香氣十足,125,2026-04-01,2026-06-30
6,海苔鱈魚飯,海鮮,海苔鱈魚配炒蛋青花菜,135,2026-04-01,2026-06-30
6,鮮蝦咖哩飯,海鮮,鮮蝦搭配微辣咖哩醬,141,2026-04-01,2026-06-30
6,蔥鹽豬肉飯,肉類,蔥鹽豬肉清爽不膩,129,2026-04-01,2026-06-30
6,番茄牛腩飯,肉類,番茄牛腩燉煮入味,151,2026-04-01,2026-06-30
6,麻油菇菇飯,素食,麻油菇菇暖胃風味,112,2026-04-01,2026-06-30
6,蔬食打拋飯,素食,蔬食打拋與九層塔香氣,111,2026-04-01,2026-06-30
6,豆腐排便當,素食,香煎豆腐排搭配時蔬,107,2026-04-01,2026-06-30
6,和風鯛魚飯,海鮮,和風醬汁搭配鯛魚片,138,2026-04-01,2026-06-30
7,香滷雞翅飯,肉類,雙節雞翅與滷汁配飯,117,2026-04-01,2026-06-30
7,韓式辣雞飯,肉類,韓式辣雞與泡菜組合,129,2026-04-01,2026-06-30
7,味噌鮭魚飯,海鮮,味噌鮭魚搭配胡麻菠菜,146,2026-04-01,2026-06-30
7,椒麻魚片飯,海鮮,椒麻魚片酸香開胃,136,2026-04-01,2026-06-30
7,滷肉雙拼飯,肉類,滷肉與香腸雙拼便當,124,2026-04-01,2026-06-30
7,鐵板牛柳飯,肉類,鐵板牛柳黑胡椒風味,149,2026-04-01,2026-06-30
7,鹽麴時蔬飯,素食,鹽麴時蔬與豆包清爽餐,110,2026-04-01,2026-06-30
7,和風豆腐飯,素食,和風豆腐與海帶芽小菜,106,2026-04-01,2026-06-30
7,奶香南瓜飯,素食,南瓜泥與季節蔬菜便當,113,2026-04-01,2026-06-30
7,香酥蝦捲飯,海鮮,蝦捲主餐搭配高麗菜,139,2026-04-01,2026-06-30
8,蒜香雞胸飯,肉類,舒肥雞胸搭配蒜香醬汁,116,2026-04-01,2026-06-30
8,泰式椒麻雞飯,肉類,椒麻雞與檸檬醬汁,130,2026-04-01,2026-06-30
8,鮮魚豆腐飯,海鮮,鮮魚豆腐湯風味便當,133,2026-04-01,2026-06-30
8,海鮮炒飯便當,海鮮,海鮮炒飯搭配時蔬,140,2026-04-01,2026-06-30
8,洋蔥牛肉飯,肉類,洋蔥牛肉與炒甜椒,147,2026-04-01,2026-06-30
8,蜜汁豬排飯,肉類,蜜汁豬排配季節時蔬,128,2026-04-01,2026-06-30
8,豆干木耳便當,素食,豆干木耳與青菜健康組合,105,2026-04-01,2026-06-30
8,塔香茄子飯,素食,塔香茄子與豆腐搭配,109,2026-04-01,2026-06-30
8,松露野菇飯,素食,松露野菇香氣濃郁,118,2026-04-01,2026-06-30
8,日式鮭魚排飯,海鮮,鮭魚排與味噌配菜,145,2026-04-01,2026-06-30
9,蔥燒雞腿飯,肉類,蔥燒雞腿與季節配菜,121,2026-04-01,2026-06-30
9,黑椒豬柳飯,肉類,黑椒豬柳搭配豆芽青菜,127,2026-04-01,2026-06-30
9,香烤鮭魚飯,海鮮,香烤鮭魚與玉米筍,148,2026-04-01,2026-06-30
9,香煎蝦餅飯,海鮮,蝦餅主餐配酸甜醬汁,137,2026-04-01,2026-06-30
9,南洋雞肉咖哩飯,肉類,南洋風味雞肉咖哩,132,2026-04-01,2026-06-30
9,紅酒牛肉飯,肉類,紅酒牛肉燉煮入味,153,2026-04-01,2026-06-30
9,青醬蔬菜飯,素食,青醬蔬菜與豆腐餐盒,114,2026-04-01,2026-06-30
9,番茄野菜便當,素食,番茄野菜搭配香料飯,108,2026-04-01,2026-06-30
9,麻香豆腐飯,素食,麻香豆腐配燙青菜,107,2026-04-01,2026-06-30
9,海苔蝦球飯,海鮮,海苔蝦球與和風沙拉,141,2026-04-01,2026-06-30
10,椒鹽雞柳飯,肉類,椒鹽雞柳與炒時蔬,118,2026-04-01,2026-06-30
10,咖哩豬排飯,肉類,日式咖哩豬排人氣餐盒,129,2026-04-01,2026-06-30
10,鮮嫩魚排飯,海鮮,魚排與檸檬塔塔醬,134,2026-04-01,2026-06-30
10,白醬鮮蝦飯,海鮮,白醬鮮蝦搭配玉米花椰,143,2026-04-01,2026-06-30
10,照燒豬肉飯,肉類,照燒豬肉與炒高麗菜,131,2026-04-01,2026-06-30
10,蒜香牛排飯,肉類,蒜香牛排搭配烤蔬菜,155,2026-04-01,2026-06-30
10,素麻油雞飯,素食,素麻油雞與高麗菜組合,115,2026-04-01,2026-06-30
10,紅藜蔬食便當,素食,紅藜飯搭配多樣蔬菜,112,2026-04-01,2026-06-30
10,雙菇豆腐飯,素食,雙菇豆腐清爽健康,109,2026-04-01,2026-06-30
10,蒲燒鰻魚風飯,海鮮,蒲燒風味魚排搭配玉子燒,147,2026-04-01,2026-06-30
